name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP,class
josh-allen-qb,24,2,15,105.1,27.412187070717284,25.2,6.358196809368728,36.46666666666667,8.114732829174901,68.83333333333333,7.9615464717743265,288.0,86.86080819333884,7.946666666666667,2.005281914234394,2.2666666666666666,1.2892719737209144,0.6,0.7118052168020874,1.6666666666666667,1.776388345929897,6.666666666666667,3.1340424729448424,27.866666666666667,16.82801896309314,4.366666666666666,2.7287766896948935,12.733333333333333,6.308371862497927,0.5333333333333333,0.618241233033047,29.0,0
kyler-murray,22,1,15,95.83333333333333,22.4531116378604,24.466666666666665,5.4511976258025685,36.46666666666667,6.8006535633635155,66.89333333333333,10.000564428515467,258.93333333333334,75.54995404072432,7.233333333333334,2.1626115899275318,1.7333333333333334,1.0624918300339485,0.8,0.7483314773547883,1.6666666666666667,0.9428090415820635,8.733333333333333,3.0652170486860397,54.4,27.414837831607418,6.246666666666667,2.821079383655995,19.6,10.467728183963,0.7333333333333333,0.679869268479038,39.0,1
aaron-rodgers,36,15,15,117.77999999999999,26.540087917463023,23.533333333333335,3.981066300488964,33.46666666666667,4.645667037382491,70.61999999999999,9.236030893553068,270.6,59.96977016241878,8.1,1.5310127367203712,2.933333333333333,1.18133634311129,0.3333333333333333,0.5962847939999438,1.2666666666666666,1.3888444437333105,2.466666666666667,1.5434449203720302,9.666666666666666,7.235713893981405,4.14,2.454872705457454,6.933333333333334,4.007770230717103,0.2,0.4,48.0,2
patrick-mahomes,24,3,14,110.96428571428571,18.106218629554448,26.142857142857142,5.804642758260012,38.857142857142854,8.166631958832259,67.77857142857144,8.460511515389646,318.7142857142857,80.10923664546034,8.278571428571428,1.496270874745694,2.5714285714285716,1.1157499537009508,0.35714285714285715,0.8112726208286104,1.5714285714285714,1.2371791482634837,4.214285714285714,3.0042486921161555,20.5,15.655898021421283,4.05,2.7471413713687385,10.714285714285714,7.914079419694023,0.14285714285714285,0.34992710611188266,19.0,0
deshaun-watson,24,2,15,111.49333333333334,18.914067662868174,23.6,4.454211490264019,33.666666666666664,4.346134936801766,69.72,5.64271802119038,297.2,54.36690169579282,8.873333333333333,1.5665106305274648,2.0,1.0954451150103321,0.4,0.6110100926607788,3.0,1.7126976771553504,5.8,2.2271057451320093,28.8,11.697293134168548,5.346666666666666,2.3505649439136023,11.066666666666666,3.213858878185053,0.2,0.4000000000000001,200.0,0
russell-wilson,31,8,15,104.91333333333334,24.077260826117424,24.266666666666666,4.2184778718817,34.8,6.42079953484507,70.26,7.738113465179996,268.73333333333335,73.08758824558076,7.7,1.5654605286198269,2.533333333333333,1.5434449203720302,0.8666666666666667,0.8844332774281066,3.0,1.7511900715418263,5.2,2.2568414506414345,32.266666666666666,23.87039077090184,5.6800000000000015,4.017992865432524,16.333333333333332,10.637460014287036,0.13333333333333333,0.33993463423951903,55.0,0
ryan-tannehill,31,8,15,106.33333333333333,26.33807552237297,19.8,6.024394852043923,30.266666666666666,7.478561953269417,64.88666666666667,10.089788016713841,240.2,72.71973597311806,7.953333333333333,1.5751684213300987,2.1333333333333333,1.0873004286866725,0.4666666666666667,0.6182412330330469,1.4666666666666666,0.8055363982396382,2.4,1.4047538337136984,15.2,16.195472618399666,4.9399999999999995,4.977656744560302,11.066666666666666,11.624495210067785,0.3333333333333333,0.5962847939999439,98.0,2
tom-brady,42,18,15,101.92,28.045895718744067,25.0,4.74692883171144,37.93333333333333,7.141117248411173,66.22,6.301026371420241,282.26666666666665,71.31756835139261,7.553333333333334,1.898022362589253,2.4,1.254325848148452,0.7333333333333333,0.9977753031397177,1.3333333333333333,1.1925695879998877,1.6666666666666667,1.4452988925785866,0.2,2.6381811916545845,0.020000000000000004,1.0160052493302714,0.26666666666666666,1.2364824660660938,0.2,0.4000000000000001,64.0,2
justin-herbert,22,0,14,98.92857142857143,22.51410442276538,26.714285714285715,5.969309261650337,40.285714285714285,8.446711713768275,66.7642857142857,8.342285327762166,288.14285714285717,50.095419155928454,7.442857142857143,1.8840360497439252,2.0,1.0690449676496976,0.7142857142857143,0.6998542122237652,2.0714285714285716,0.703489842985436,3.5,2.1630005613895316,16.071428571428573,16.17522040350736,3.6000000000000005,2.577096927053496,8.714285714285714,7.506459803096943,0.2857142857142857,0.45175395145262565,62.0,0
lamar-jackson,23,2,14,100.72857142857141,23.630078549274817,16.571428571428573,3.3319725113401715,25.571428571428573,5.460432815318969,65.87142857142858,10.608650686480118,188.85714285714286,46.96025240692866,7.6000000000000005,2.0483442790981905,1.6428571428571428,0.8112726208286106,0.5714285714285714,0.6226998490772391,2.0714285714285716,1.4374722712498649,10.571428571428571,3.6783980541667805,64.85714285714286,29.849281261644048,6.307142857142857,3.3218893689573465,22.928571428571427,13.450779508554703,0.5,0.6267831705280087,43.0,1
