,name,age,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,class
0,lamar-jackson,22,14,107.62857142857145,32.30394554786124,17.5,4.013370510822899,26.428571428571427,7.296910165212648,67.58571428571429,11.04379962712479,206.35714285714286,58.73379064274079,8.207142857142857,2.969479099513748,2.357142857142857,1.8364228760260632,0.42857142857142855,0.9035079029052514,1.6428571428571428,1.3942300925673667,11.357142857142858,4.368836766678008,78.78571428571429,35.733494834136,6.964285714285714,2.6765134951641696,23.142857142857142,12.099924101634114,0.5,0.6267831705280087,0
1,dak-prescott,25,15,98.48666666666666,23.398372213088294,24.333333333333332,4.407065034943576,37.53333333333333,8.098285140832115,65.79333333333334,8.61962618421214,306.6,83.20240381142843,8.253333333333334,1.7423611055754835,1.7333333333333334,1.2892719737209144,0.7333333333333333,0.7717224601860151,1.3333333333333333,1.1925695879998877,3.2666666666666666,1.948218559493661,16.133333333333333,16.6367731914041,4.673333333333333,3.283182737663088,9.6,9.308061022576076,0.2,0.4000000000000001,0
2,jameis-winston,25,15,87.54666666666667,27.437076293868408,24.466666666666665,5.536143864540452,40.13333333333333,8.609039177257563,61.15333333333333,6.38455079773737,327.2,80.7962045313186,8.26,1.6871277367170514,2.066666666666667,1.2364824660660938,1.8666666666666667,1.586050300449376,3.066666666666667,1.730767331432956,3.8,2.256841450641434,16.333333333333332,15.43012925703764,4.286666666666665,3.9056995389928413,10.4,8.950232771647151,0.06666666666666667,0.24944382578492943,1
3,russell-wilson,30,15,108.64000000000001,27.263841744454623,21.066666666666666,5.591263025669802,31.733333333333334,8.274190124853442,67.01333333333335,9.692255786050131,258.46666666666664,64.87410029348298,8.353333333333332,1.6548380249706882,1.9333333333333333,1.236482466066094,0.3333333333333333,0.47140452079103173,3.1333333333333333,1.7074997966487597,4.466666666666667,2.246973272847029,20.866666666666667,15.978596795574871,5.22,4.972216139040351,11.533333333333333,6.031767752676012,0.2,0.5416025603090641,0
4,deshaun-watson,23,14,100.95714285714284,29.573340172858256,22.428571428571427,4.304719763805532,33.07142857142857,6.4527323748967635,68.17142857142856,7.769668918431518,262.0,72.85308111927338,8.035714285714286,2.187825777490763,1.8571428571428572,1.406979685970872,0.7857142857142857,0.8601138984851641,2.7857142857142856,2.0416579897080647,5.357142857142857,2.4085307571553383,26.857142857142858,16.216645517391527,5.249999999999999,3.3866861173044747,12.785714285714286,7.012015926032883,0.5,0.7319250547113999,0
5,josh-allen-qb,23,15,87.64666666666666,24.96674766342002,17.866666666666667,3.8447655614123235,30.4,5.975505557412416,59.40666666666667,9.981013085965884,205.6,42.90889573658745,6.92,1.4492296804394627,1.3333333333333333,0.7888106377466155,0.6,0.8793937305515279,2.533333333333333,1.6679994670929073,7.266666666666667,2.2350739485653612,34.0,13.851594372730768,4.846666666666666,1.7419784409942876,13.333333333333334,7.096164848392091,0.6,0.6110100926607788,0
6,kyler-murray,21,15,89.24,20.080962792323145,21.533333333333335,5.277204647243547,33.333333333333336,9.133576639095017,65.28,6.4598451993836505,226.46666666666667,75.64819157712157,6.886666666666667,1.775337213664554,1.2,1.1075498483890767,0.6666666666666666,0.8692269873603532,3.1333333333333333,2.186829262247563,6.066666666666666,2.8394052585395806,36.266666666666666,24.745280133570702,6.093333333333334,3.1571013428284003,17.2,8.27204126359792,0.26666666666666666,0.44221663871405337,0
7,patrick-mahomes,23,13,106.66923076923075,22.355497847815165,23.307692307692307,6.377660716361271,35.30769230769231,8.895847046490639,67.14615384615385,10.881785443477089,296.6923076923077,103.25203266047943,8.26153846153846,1.682277970966045,1.9230769230769231,1.1409536133993328,0.3076923076923077,0.46153846153846156,1.3076923076923077,1.1357556200179542,2.769230769230769,1.9276867824833335,15.153846153846153,19.15461845832549,3.907692307692308,3.942756072062661,8.692307692307692,8.470624492322914,0.15384615384615385,0.36080121229411,0
8,carson-wentz,26,15,94.02,15.596332902320338,24.333333333333332,6.0736223860962,37.8,7.6000000000000005,64.14,7.5047362822864505,250.0,54.54539393936027,6.653333333333334,0.8531249745624742,1.7333333333333334,0.85374989832438,0.4666666666666667,0.7180219742846006,2.4,1.254325848148452,3.933333333333333,1.8785337071473829,15.2,10.451156235874894,3.8400000000000003,2.8765256821380896,7.4,5.1613951602255765,0.06666666666666667,0.24944382578492946,1
9,aaron-rodgers,35,15,97.18,22.744529012490016,21.733333333333334,4.449219656923622,34.266666666666666,5.982938705649219,63.35333333333334,6.528487999189058,244.73333333333332,84.00433851229882,7.186666666666667,2.275922279477536,1.6,1.4047538337136984,0.2,0.4000000000000001,2.3333333333333335,1.6996731711975948,2.933333333333333,1.5260697523012796,12.133333333333333,13.073467617872298,3.7333333333333334,3.2026378017017296,7.8,6.079473661428265,0.06666666666666667,0.24944382578492946,1
