name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
mark-andrews,25,3,17,6.294117647058823,2.5150068619331707,9.0,2.8284271247461903,80.05882352941177,34.339945164633484,12.858823529411765,3.444015922544564,26.11764705882353,9.405144730669715,0.5294117647058824,0.6960093862470137,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,26.0,0
travis-kelce,31,8,16,5.75,1.920286436967152,8.375,2.496873044429772,70.3125,44.64123479194992,11.306249999999999,3.887555264880488,23.5625,14.794292607286096,0.5625,0.7043392293490403,0.125,0.33071891388307384,0.1875,1.0135796712641785,0.1875,1.0135796712641785,0.1875,1.0135796712641785,0.0625,0.24206145913796356,19.9,15.0,1
dalton-schultz,25,3,17,4.588235294117647,2.1708990690877568,6.117647058823529,2.37344011786259,47.529411764705884,25.186638958124615,10.170588235294117,3.3453681246274463,16.647058823529413,7.153289465204828,0.47058823529411764,0.6960093862470136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,53.0,2
george-kittle,27,4,14,5.071428571428571,3.058110661229664,6.714285714285714,3.6922422809485957,65.0,51.34338182417338,13.135714285714286,6.613039839466215,22.928571428571427,11.7683855290003,0.42857142857142855,0.6226998490772391,0.21428571428571427,0.41032590332414487,1.4285714285714286,2.8464084064530395,1.4285714285714286,2.8464084064530395,1.4285714285714286,2.8464084064530395,0.0,0.0,18.3,42.0,3
zach-ertz,30,8,17,4.352941176470588,2.299390621846125,6.588235294117647,3.0880952349192206,44.88235294117647,24.190134967746364,10.588235294117647,4.012463282286269,18.58823529411765,9.468578522605933,0.29411764705882354,0.5703152773430975,0.058823529411764705,0.23529411764705885,0.23529411764705882,0.9411764705882354,0.23529411764705882,0.9411764705882354,0.23529411764705882,0.9411764705882354,0.0,0.0,19.0,96.0,0
kyle-pitts,20,0,17,4.0,1.909727421264462,6.470588235294118,1.6844495368560415,60.35294117647059,38.452325220705355,14.870588235294116,6.91866739173872,27.470588235294116,13.958415749726562,0.058823529411764705,0.23529411764705885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,33.0,2
dawson-knox,24,2,15,3.2666666666666666,1.768866554856213,4.733333333333333,2.4890872936792627,39.13333333333333,28.934101372294634,11.580000000000002,8.376013371527053,19.0,12.361229712289955,0.6,0.7118052168020874,0.0,0.0,0.26666666666666666,0.9977753031397177,0.0,0.0,0.0,0.0,0.0,0.0,10.8,73.0,2
hunter-henry,26,5,16,3.125,1.6153559979150107,4.6875,1.7218721642444887,37.6875,21.756374784186818,12.912500000000001,6.214486603895772,19.0625,8.34017947948364,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,159.0,2
dallas-goedert,26,3,15,3.7333333333333334,1.8785337071473827,5.066666666666666,2.0483055327649624,55.333333333333336,32.9902342452362,14.620000000000003,6.897555122408712,21.733333333333334,10.723598069470691,0.26666666666666666,0.573488351136175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,61.0,2
mike-gesicki,25,3,17,4.294117647058823,2.5613577714208517,6.588235294117647,2.5909077112406167,45.88235294117647,29.08381873328753,9.558823529411764,4.439801111540313,18.647058823529413,10.24374228762923,0.11764705882352941,0.32218973970892123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,132.0,2
noah-fant,23,2,16,4.25,1.920286436967152,5.625,2.4206145913796355,41.875,25.97564965501344,9.54375,3.350180732065063,17.375,8.880280119455692,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,199.0,2
pat-freiermuth,22,0,16,3.75,1.6393596310755,4.9375,2.4358969087381346,31.0625,14.31986709959279,9.30625,4.892273084926883,13.6875,4.983958642484907,0.4375,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,119.0,2
tyler-higbee,28,5,15,4.066666666666666,1.6110727964792764,5.666666666666667,2.3851391759997758,37.333333333333336,19.478763364808923,8.58,2.2847902894284773,15.6,7.914543574963751,0.3333333333333333,0.5962847939999439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,180.0,4
tj-hockenson,24,2,12,5.083333333333333,2.9285472318009296,7.0,3.559026084010437,48.583333333333336,28.455984529718094,8.799999999999999,3.321646178227496,18.5,8.51958527942137,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,65.0,0
darren-waller,28,6,11,5.0,2.215646837627989,8.454545454545455,3.7016860130004243,60.45454545454545,30.209461601424376,12.1,2.779470191503148,23.636363636363637,5.866278474509701,0.18181818181818182,0.38569460791993493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,47.0,0
gerald-everett,27,4,15,3.2,1.8330302779823362,4.2,2.1039645117412666,31.866666666666667,21.234772321726354,10.360000000000001,5.563787678671188,16.2,10.114016676540203,0.26666666666666666,0.44221663871405337,0.2,0.4000000000000001,1.3333333333333333,4.555826550205302,1.3333333333333333,4.555826550205302,1.3333333333333333,4.555826550205302,0.0,0.0,12.7,219.0,3
cole-kmet,22,1,17,3.5294117647058822,1.9738778512426491,5.470588235294118,2.4038607931414764,36.0,23.612060726770668,9.629411764705882,3.472033597337166,14.882352941176471,6.910200073218077,0.0,0.0,0.058823529411764705,0.23529411764705885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,117.0,2
david-njoku,25,4,15,2.4,1.5832456116050555,3.533333333333333,1.4544949486180951,31.666666666666668,35.81929957749344,10.999999999999998,6.182016930851399,18.266666666666666,17.156016113564622,0.26666666666666666,0.44221663871405337,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492946,0.0,0.0,10.2,163.0,4
evan-engram,26,4,15,3.066666666666667,1.4360439485692011,4.866666666666666,1.359738536958076,27.2,16.56180344447226,8.859999999999998,3.546791977736125,13.333333333333334,6.425643072011462,0.2,0.4000000000000001,0.06666666666666667,0.24944382578492946,-0.2,0.7483314773547879,-0.2,0.7483314773547879,-0.2,0.7483314773547879,0.0,0.0,12.3,222.0,4
austin-hooper,26,5,15,2.533333333333333,1.586050300449376,4.066666666666666,1.7688665548562135,23.0,14.881756168768076,8.286666666666667,5.1558208743990415,12.0,8.230026326405849,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,218.0,4
mo-alie-cox,27,4,17,1.411764705882353,1.0878377652298192,2.6470588235294117,1.3258150199511347,18.58823529411765,16.23380214798526,10.458823529411765,9.187399223842942,13.764705882352942,11.769998809359258,0.23529411764705882,0.5455069703232767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,149.0,4
cameron-brate,30,7,16,1.875,0.9270248108869579,3.5625,1.4986973510352248,15.3125,10.06676928065802,7.5125,3.831754656811942,9.375,5.0974871260259205,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,140.0,4
albert-okwuegbunam,23,1,14,2.357142857142857,1.493181782883348,2.857142857142857,1.406979685970872,23.571428571428573,21.67195121321002,8.614285714285716,6.808907731038505,14.642857142857142,15.225012985484225,0.14285714285714285,0.34992710611188266,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0301575072754254,0.0,0.0,7.4,131.0,4
hayden-hurst,27,3,12,2.1666666666666665,1.2801909579781015,2.5833333333333335,1.3819269959814167,18.416666666666668,13.732311855215382,8.458333333333334,8.174702678928995,11.166666666666666,8.374896350934076,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,153.0,4
logan-thomas,30,5,5,3.6,0.8,5.0,1.4142135623730951,39.2,7.35934779718964,11.16,2.4743483990739863,20.0,8.555699854482976,0.6,0.48989794855663565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,216.0,4
robert-tonyan,27,4,8,2.25,0.9682458365518543,3.625,1.7275343701356567,25.5,22.9128784747792,9.55,5.500000000000001,13.875,10.337280832017674,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,201.0,4
