name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
travis-kelce,32,9,17,6.470588235294118,1.9438484284539184,8.941176470588236,2.3632128737177256,78.70588235294117,29.89149929501373,12.617647058823529,4.351637324599133,27.058823529411764,11.709576715287836,0.7058823529411765,1.1253603805711172,0.11764705882352941,0.32218973970892123,0.29411764705882354,0.955769224074819,0.29411764705882354,0.955769224074819,0.29411764705882354,0.955769224074819,0.0,0.0,23.3,5.3,0
tj-hockenson,25,3,17,5.0588235294117645,2.959940147155088,7.588235294117647,3.5655017554568795,53.76470588235294,40.39442217139086,10.92941176470588,5.629519330215801,20.88235294117647,18.556376271945467,0.35294117647058826,0.6809315825170721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,44.3,0
george-kittle,28,5,15,4.0,1.7126976771553504,5.733333333333333,2.1437246921084703,51.0,33.09380606699689,12.880000000000003,5.734713012290444,23.133333333333333,11.723859811891684,0.7333333333333333,0.8537498983243799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,58.0,0
mark-andrews,26,4,15,4.866666666666666,2.729265265394496,7.533333333333333,2.777688887466621,56.46666666666667,33.30438743202196,10.6,3.4538866995507154,18.866666666666667,8.048740412152837,0.3333333333333333,0.5962847939999437,0.2,0.4000000000000001,0.5333333333333333,1.203698005684519,0.5333333333333333,1.203698005684519,0.5333333333333333,1.203698005684519,0.0,0.0,23.2,32.7,1
taysom-hill,31,5,16,0.5625,0.6091746465505602,0.8125,0.8816709987291178,4.8125,8.669045146381462,3.71875,5.202069149626906,4.5,7.599342076785332,0.125,0.33071891388307384,6.0,3.3166247903554,35.9375,29.72681607152034,5.91875,4.530758594043608,16.6875,17.1052577808696,0.4375,0.7880950133074057,2.5,217.0,2
evan-engram,27,5,17,4.294117647058823,2.8026186469580225,5.764705882352941,3.638509904515791,45.05882352941177,40.30394899384265,10.164705882352942,4.328420602655756,15.764705882352942,8.775161548804242,0.23529411764705882,0.5455069703232767,0.11764705882352941,0.32218973970892123,0.7647058823529411,3.0588235294117645,0.7647058823529411,3.0588235294117645,0.7647058823529411,3.0588235294117645,0.0,0.0,16.4,93.3,1
cole-kmet,23,2,17,2.9411764705882355,1.6616996343324157,4.0588235294117645,1.862022563687578,32.0,20.96215076526935,10.117647058823529,5.707398221928081,16.823529411764707,11.423583933958454,0.4117647058823529,0.6910200073218078,0.11764705882352941,0.4705882352941177,0.5294117647058824,2.11764705882353,0.2647058823529412,1.058823529411765,0.47058823529411764,1.8823529411764708,0.0,0.0,18.3,136.7,3
pat-freiermuth,23,1,15,4.2,2.2861904265976323,6.533333333333333,2.7535835237417845,48.8,25.67281311686223,11.493333333333336,5.835348223447242,20.2,12.644893567497249,0.13333333333333333,0.339934634239519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,102.0,3
tyler-higbee,29,6,16,4.5,2.850438562747845,6.75,3.526683994916471,38.75,27.86462811522881,7.73125,3.253981935644388,12.9375,7.16300172762788,0.1875,0.5266343608235224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,137.0,1
dalton-schultz,26,4,15,3.8,2.2568414506414345,5.933333333333334,2.6699979192667715,38.46666666666667,24.722099874853313,8.88,4.442101604721201,14.0,7.702813338860896,0.3333333333333333,0.699205898780101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.3,1
